Logo,"ID Name club","Nom Club","Nom comlet","Code pays"
,portfc_por,Porto,"FC Porto",por
,rioavfc_por,"Rio Ave","Rio Ave FC",por
,vitfc_por,Setúbal,"Vitória Setúbal",por
,sporcp_por,Sporting,"Sporting Clube de Portugal",por
,cfu_por,"U. Madeira","CF União da Madeira",por
,cdt_por,Tondela,"CD Tondela",por
,gdch_por,Chaves,"GD Chaves",por
,astrofc_rom,Astra,"FC Astra Ploiesti",rom
,brasfc_rom,Brasov,"FC Brasov",rom
,clujcfr_rom,"CFR Cluj","CFR 1907 Cluj",rom
,ceahpnfc_rom,Ceahlaul,"FC Ceahlaul Piatra Neamt",rom
,concordcs_rom,Concordia,"CS Concordia Chiajna",rom
,dinbfc_rom,"Dinamo Bucureşti","FC Dinamo 1948 Bucureşti",rom
,gazmmas_rom,"Gaz Metan","CS Gaz Metan Mediaş",rom
,glorbcf_rom,"Gloria Bistriţa","ACF Gloria 1922 Bistriţa",rom
,intcafc_rom,"Internaţional Curtea","FC Internaţional Curtea de Argeş",rom
,mionvcs_rom,Mioveni,"CS Mioveni",rom
,otegfc_rom,"Oţelul Galaţi","FC Oţelul Galaţi",rom
,panltjcs_rom,Pandurii,"CS Pandurii Lignitul Târgu Jiu",rom
,petrofc_rom,Petrolul,"FC Petrolul Ploieşti",rom
,polifc_rom,"Poli Iaşi","FC Politehnica Iaşi",rom
,rapbfc_rom,"Rapid Bucureşti","FC Rapid Bucureşti",rom
,sporsbfc_rom,Sportul,"FC Sportul Studentesc Bucuresti",rom
,stebfc_rom,Steaua,"FC Steaua Bucureşti",rom
,timfc_rom,Timişoara,"FC Timişoara",rom
,tarmfcm_rom,Târgu,"FCM Târgu Mureş",rom
,uniraifc_rom,"Unirea Alba Iulia","FC Unirea Alba Iulia",rom
,uniurfc_rom,"Unirea Urziceni","FC Unirea Urziceni",rom
,univclfc_rom,"Univ Cluj","FC Universitatea Cluj",rom
,univcrfc_rom,"Univ Craiova","FC Universitatea Craiova",rom
,vassc_rom,Vaslui,"FC Vaslui",rom
,vicbfc_rom,Victoria,"FC Victoria Brăneşti",rom
,alavfc_rus,Alania,"FC Alania Vladikavkaz",rus
,amkpfc_rus,Amkar,"FC Amkar Perm",rus
,anzmfc_rus,Anzhi,"FC Anzhi Makhachkala",rus
,fcarst_rus,"Arsenal T","FC Arsenal Tula",rus
,cskampfc_rus,CSKA,"PFC CSKA Moskva",rus
,dinmfc_rus,Dinamo,"FC Dinamo Moskva",rus
,fcmords_rus,"FC Mordovia","FC Mordovia Saransk",rus
,moscfc_rus,"FC Moscow","FC Moscow",rus
,rostfc_rus,"FC Rostov","FC Rostov",rus
,fcufa_rus,"FC Ufa","FC Ufa",rus
,khimfc_rus,Khimki,"FC Khimki",rus
,krasfc_rus,Krasnodar,"FC Krasnodar",rus
,krsspfc_rus,"Krylya Sovetov","PFC Krylya Sovetov Samara",rus
,kubfc_rus,Kuban,"FC Kuban Krasnodar",rus
,lokmfc_rus,"Lokomotiv Moscow","FC Lokomotiv Moskva",rus
,luchenfc_rus,Luch-Energiya,"FC Luch-Energiya",rus
,orefc_rus,Orenburg,"FC Orenburg",rus
,rubkfc_rus,Rubin,"FC Rubin Kazan",rus
,satmofc_rus,Saturn,"FC Saturn Moskovskaya Oblast",rus
,shinfc_rus,Shinnik,"FC Shinnik Yaroslavl",rus
,sibnfc_rus,Sibir,"FC Sibir Novosibirsk",rus
,spamfc_rus,Spartak,"FC Spartak Moskva",rus
,spanpfc_rus,"Spartak Nalchik","PFC Spartak Nalchik",rus
,tergfc_rus,Terek,"FC Terek Grozny",rus
,tomskfc_rus,"Tom Tomsk","FC Tom Tomsk",rus
,fctorpm_rus,Torpedo,"FC Torpedo Moskva",rus
,uralfc_rus,Ural,"FC Ural Ekaterinburg",rus
,volgnnfc_rus,Volga,"FC Volga Nizhny Novgorod",rus
,abefc_sco,Aberdeen,"Aberdeen FC",sco
,celtfc_sco,Celtic,"Celtic FC",sco
,dundfc_sco,"Dundee FC","Dundee FC",sco
,dutdfc_sco,"Dundee United","Dundee United FC",sco
,dafc_sco,"Dunfermline Athletic","Dunfermline Athletic FC",sco
,falkfc_sco,Falkirk,"Falkirk FC",sco
